Product Name,Price,Quantity Available,Specifications
Ճեղք չափիչ (Շուպ) 100մմ YATO YT-7222,750,4,"Չափսեր` - 0,05/ 0,06/ 0,07/ 0,08/ 0,09/ 0,10/ 0,20/ 0,30/ 0,40/ 0,50 մմ, Երկարություն` - 100 մմ."
Միկրոմետր թվային 0-25մմ YATO YT-72305,34600,2,Չափման տարածք` - 0-25 մմ․
Լազերային հարթաչափի կանգնակ 1200մմ YATO YT-30475,8500,2,"Առավելագույն բարձրություն` - 1200 մմ, Նվազագույն բարձրություն` - 460 մմ"
Լազերային հարթաչափի կանգնակ 750մմ YATO YT-30473,7950,1,"Առավելագույն բարձրություն` - 750 մմ, Նվազագույն բարձրություն` - 320 մմ, Գլխի երկարությունը բռնակով` - ~ 140 մմ"
Հարթաչափ լազերային YATO YT-30436,108950,1,"Մարտկոց` - 5200 մԱ/ժ, Ճշգրտություն` - +- 3 մմ, Աշխատանքային միջակայք` - 3D, Լազերային գույն` - կանաչ, լազերային դիոդ` - 510–530 Նմ"
Հարթաչափ լազերային YATO YT-30434,44750,2,"Մարտկոց` - 5200 մԱ/ժ, Ճշգրտություն` - +- 0,3 մմ/մ, Աշխատանքային միջակայք` - 10 մ, Լազերային գույն` - կանաչ, լազերային դիոդ` - 510–530 Նմ"
Քանոն եռանկյունի սև 300մմ YATO YT-70787,8350,2,Չափս` - 300 մմ.
Կարկին 200մմ YATO YT-72107,5200,1,Երկարություն` - 200 մմ.
Քանոն շաբլոն YATO YT-3736,3450,2,Չափսեր` - 260 x 44 x 1.5 մմ.
Տրանսպարտյոր պլասմասից 250մմ VOREL 18473,2950,3,
"Ձողակարկին 150մմ +/-0,02մմ տուփով VOREL 15240",8500,2,Երկարություն` - 150 մմ.
Քանոն անկյուն ալյումին 350մմ YATO YT-7082,2450,2,
Քանոն անկյուն ալյումին 300մմ YATO YT-7081,2400,3,
Քանոն անկյուն ալյումին 250մմ YATO YT-7080,2300,3,
Միկրոմետր 25-50մմ YATO YT-72301,14000,1,Չափման տարածք` - 25-50 մմ․
Միկրոմետր 0-25մմ YATO YT-72300,13650,2,Չափման տարածք` - 0-25 մմ․
Մետր 8/25մմ YATO YT-7153,3150,13,"Երկարություն` - 8 մ․, Լայնություն` - 25 մմ․"
Մետր 5/19մմ YATO YT-7151,1800,3,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․"
Մետր 10/25մմ YATO YT-7154,3950,5,"Երկարություն` - 10 մ․, Լայնություն` - 25 մմ․"
Հարթաչափ 80սմ-3աչք YATO YT-3003,3300,1,"Երկարություն` - 80սմ, Չափիչ աչքերի քանակ` - 3, Կորպուս` - Ալյումին, Բրենդ` - YATO"
Հարթաչափ 60սմ-3աչք YATO YT-3002,2600,1,"Երկարություն` - 60սմ, Չափիչ աչքերի քանակ` - 3, Կորպուս` - Ալյումին, Բրենդ` - YATO"
Հարթաչափ 40սմ-3աչք YATO YT-3001,2050,1,"Երկարություն` - 40սմ, Չափիչ աչքերի քանակ` - 3, Կորպուս` - Ալյումին, Բրենդ` - YATO"
Հարթաչափ 100սմ-3աչք YATO YT-3004,4350,1,"Երկարություն` - 100սմ, Չափիչ աչքերի քանակ` - 3, Կորպուս` - Ալյումին, Բրենդ` - YATO"
Հարթաչափ հայելիով 40սմ KRAFTOOL 34785-040,13850,1,
Հարթաչափ հայելիով 40սմ KRAFTOOL 34781-040,7600,1,"Երկարություն` - 40սմ, Չափիչ աչքերի քանակ` - 3, Չափման ցուցիչ` - Պտտվում է, Կորպուս` - Ավիացիոն ալյումին, Կոլբա` - Հարվածակայուն ակրիլ, Հարթաչափ` - Հարվածակայուն է"
Մետր թվային և լազեր 5մ YATO YT-73122,21000,1,
Հարթաչափ 100սմ YATO YT-30073,6900,3,"Երկարություն` - 100 սմ․, Ճշգրտություն` - 0,5 մմ․/մ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ 80սմ YATO YT-30072,5950,2,"Երկարություն` - 80 սմ․, Ճշգրտություն` - 0,5 մմ․/մ․, Չափիչ աչքերի քանակ` - 3 հատ"
"Քանոն՝ 60սմ*29*1մմ, BERENT BT4175",1500,2,
Միկրոմետր BERENT BT4060,8900,1,Չափման տարածք` - 0-25 մմ․
Ռեֆրակտոմեր YATO YT-06722,17950,2,
Լազերային մետր CROWN CT44035,28900,1,"Չափման տարածք` - 100 մ․, Մեկ չափման ժամանակ` - 0,25 վրկ․, Ալիքի երկարություն` - 650 Նմ․, Լազերի գույն` - կարմիր, Սնուցման աղբյուր` - մարտկոց AAA, Մարտկոցի քանակ և լարում` - 2х1.5Վ․, Աշխատանքային ջերմաստիճան` - -20 մինչև +65 °С"
Լազերային մետր CROWN CT44034,23500,1,"Չափման տարածք` - 0,05-80 մ․, Ալիքի երկարություն` - 650 Նմ․, Լազերի գույն` - կարմիր, Սնուցման աղբյուր` - AAA մարտկոց, Մարտկոցների քանակ և լարում` - 2х1,5 Վ․, Աշխատանքային ջերմաստիճան` - 0 մինչև +40 °С, Քաշ` - 0,107 կգ․"
Լազերային մետր CROWN CT44031,24900,1,"Չափման տարածք` - 0,05-100 մ․, Ալիքի երկարություն` - 650 Նմ․, Լազերի գույն` - կարմիր, Սնուցման աղբյուր` - AAA մարտկոց, Մարտկոցների քանակ և լարում` - 2х1.5 Վ․, Աշխատանքային ջերմաստիճան` - 0 մինչև +40 °С, Չափսեր` - 160х100х42 մմ․, Քաշ` - 0,089 կգ․"
"Ձողակարկին 0-150 մմ․, YATO YT-72002",12850,2,
Հարթաչափ KRAFTOOL 34717-060,14500,1,"Երկարություն` - 600 մմ․, Չափիչ աչքերի քանակ` - 2, Կոլբա` - Հարվածակայուն պոլիակրիլ, Հարթաչափ` - Հարվածակայուն է"
Հարթաչափ KRAFTOOL 34717-040,13000,1,"Երկարություն` - 400 մմ․, Չափիչ աչքերի քանակ` - 2, Կոլբա` - Հարվածակայուն պոլիակրիլ, Հարթաչափ` - Հարվածակայուն է"
Հարթաչափ KRAFTOOL 5991 34717-080,21000,1,"Երկարություն` - 800 մմ․, Չափիչ աչքերի քանակ` - 2, Կոլբա` - Հարվածակայուն պոլիակրիլ, Հարթաչափ` - Հարվածակայուն է"
"Ձողակարկին թվային 150 մմ, BERENT BT4171",8900,2,"Երկարություն` - 150 մմ․, Քաշ` - 300 գր․"
"Ձողակարկին թվային 150 մմ, YT-7201",11350,2,"Երկարություն` - 150 մմ․, Քաշ` - 370 գր․"
"Ձողակարկին 0-150 մմ․, BERENT BT4055",6800,2,Երկարություն` - 150 մմ․
Ինդիկատոր 45270 DEXX,650,4,
Ինդիկատոր ապահովիչ ստուգող 6-24V YATO YT-2865,850,4,
Ինդիկատոր ապահովիչ ստուգող 6-24V YATO YT-28522,1500,3,
Ինդիկատոր ապահովիչ ստուգող YT-2866,1600,4,
Ինդիկատոր YATO YT-2864,1100,3,
Ինդիկատոր թվային BERENT BT9001,1350,2,
Ինդիկատոր BERENT BT9008,330,6,
Ինդիկատոր BERENT BT9007,500,10,Երկարություն` - 145մմ
Ինդիկատոր BERENT BT9004,500,5,
Ինդիկատոր BERENT BT9006,800,5,
Տեստեր մարտկոց ստուգելու YATO YT-83101,2950,1,
Տեստեր թվային YATO YT-73091,17500,1,
